3,Blumenthal: This devastates Barr's credibility - CNN Video,"Sen. Richard Blumenthal (D-CT) reacts to the news that special counsel Robert Mueller expressed concerns in a letter to Attorney General William Barr that Barr's four-page letter to Congress summarizing the ""principal conclusions"" of Mueller's findings didn't…",CNN
6,Barr's world view didn't change when he became Trump's top cop,"Nearly 20 years before William Barr heralded the end of the special counsel's probe of President Donald Trump, the attorney general laid out his complaints about special prosecutors: They have ""no ultimate accountability,"" are unconstrained by resources and a…",CNN
3,Watchdogs say Mueller report offers 'roadmap' for civil fines against Trump campaign,"Three watchdog groups on Tuesday urged federal campaign regulators to pursue civil penalties against President Donald Trump's campaign, saying special counsel Robert Mueller's team had created a ""roadmap"" for action.",CNN
3,New York push to reveal Trump's state tax returns takes a step forward,A New York effort to enable the release of President Donald Trump's state tax returns is inching closer to becoming law.,CNN
3,Judge allows congressional Democrats' lawsuit against Trump over business earnings to move forward,"A lawsuit from Democratic members of Congress over Trump business earnings from foreign governments while President Donald Trump is in the White House can continue to move forward, a federal judge decided on Tuesday.",CNN
3,William Barr now has to try to defend the indefensible,"Elie Honig says that with the release of Robert Mueller's report, Attorney General William Barr will have to answer publicly for his campaign to distort the special counsel's findings, mislead the public and protect President Donald Trump.",CNN
3,The Mueller report: A catalog of 77 Trump team lies and falsehoods,"The Mueller report documents at least 77 specific instances where Trump campaign staff, administration officials and family members, Republican backers and his associates lied to the public, Congress, or authorities, according to a new CNN analysis.",CNN
4,Buttigieg called on by Rev. Graham to repent for being gay - CNN Video,Former Republican presidential candidate Rick Santorum reacts to a tweet Rev. Franklin Graham posted about 2020 Democratic hopeful Pete Buttigieg's sexual orientation.,CNN
3,Biden takes aim at Trump as he enters Iowa the Democratic front-runner,"Joe Biden has visited Iowa countless times over 32 years, in previous presidential bids and as vice president. But Tuesday was the first time he arrived in the state as the Democratic front-runner.",CNN
3,Mueller expressed misgivings to Barr about 4-page letter,"Special counsel Robert Mueller expressed concerns in a letter to Attorney General William Barr that Barr's four-page letter to Congress summarizing the ""principal conclusions"" of Mueller's findings didn't fully capture his 448-page report, according to a sour…",CNN
3,Democrats' 2020 Senate hopes just took an early hit,"Senate Democrats believe that they can recapture their majority in 2020, but those aspirations took a bit of a blow with two decisions over the past 24 hours.",CNN
